AP1S1,AP1M1
AP1S1,AP1M2
AP1B1,AP1G1
AP1B1,AP1G2
AP1B1,AP1S2
AP1B1,AP1S1
AP1B1,AP1S3
AP1B1,AP1M1
AP1B1,AP1M2
AP1S3,AP1G1
AP1S3,AP1G2
AP1S3,AP1S2
AP1S3,AP1S1
AP1S3,AP1B1
AP1S3,AP1M1
AP1S3,AP1M2
AP1M1,AP1G1
AP1M1,AP1G2
AP1M1,AP1S2
AP1M1,AP1S1
AP1M1,AP1B1
AP1M1,AP1S3
AP1M1,AP1M2
AP1M2,AP1G1
AP1M2,AP1G2
AP1M2,AP1S2
AP1M2,AP1S1
AP1M2,AP1B1
AP1M2,AP1S3
AP1M2,AP1M1
PSEN1,NCSTN
PSEN1,APH1A
PSEN1,PSENEN
NCSTN,PSEN1
NCSTN,APH1A
NCSTN,PSENEN
APH1A,PSEN1
APH1A,NCSTN
APH1A,PSENEN
PSENEN,PSEN1
PSENEN,NCSTN
PSENEN,APH1A
SMARCA5,KIF4A
SMARCA5,SMC2
SMARCA5,HDAC1
SMARCA5,SIN3A
SMARCA5,SMC4
SMARCA5,DNMT3B
KIF4A,SMARCA5
KIF4A,SMC2
KIF4A,HDAC1
KIF4A,SIN3A
KIF4A,SMC4
KIF4A,DNMT3B
SMC2,SMARCA5
SMC2,KIF4A
SMC2,HDAC1
SMC2,SIN3A
SMC2,DNMT3B
HDAC1,SMARCA5
HDAC1,KIF4A
HDAC1,SMC2
HDAC1,SIN3A
HDAC1,SMC4
HDAC1,DNMT3B
SIN3A,SMARCA5
SIN3A,KIF4A
SIN3A,SMC2
SIN3A,HDAC1
SIN3A,SMC4
SIN3A,DNMT3B
SMC4,SMARCA5
SMC4,KIF4A
SMC4,HDAC1
SMC4,SIN3A
SMC4,DNMT3B
DNMT3B,SMARCA5
DNMT3B,KIF4A
DNMT3B,SMC2
DNMT3B,HDAC1
DNMT3B,SIN3A
DNMT3B,SMC4
RAB5A,RABEP1
RAB5A,RABGEF1
RABEP1,RAB5A
RABEP1,RABGEF1
RABGEF1,RAB5A
RABGEF1,RABEP1
MAPK3,HDAC4
